cd_localidade;nm_localidade;cd_setor;cd_sit;nm_sit;cd_uf;nm_uf;sigla_uf;cd_mun;nm_mun;cd_dist;nm_dist;cd_subdist;nm_subdist;cagece_sistema_de_abastecimento;lat(y);long(x)
"23122052500000501";Macaraú;"231220525000005";"2";Área Urbana de Baixa Densidade de Edificações;"23";Ceará;CE;"2312205";Santa Quitéria;"231220525";Macaraú;"23122052500";;SAA ETA MACARAÚ;"-4.104704";"-40.429442"
"23122050500000100";Santa Quitéria;"231220505000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312205";Santa Quitéria;"231220505";Santa Quitéria;"23122050500";;SAA ETA SANTA QUITÉRIA;"-4.333271";"-40.153508"
"23120070500000100";Santana do Acaraú;"231200705000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312007";Santana do Acaraú;"231200705";Santana do Acaraú;"23120070500";;SAA ETA SANTANA;"-3.459775";"-40.209463"
"23121062000000100";Brejo Grande;"231210620000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312106";Santana do Cariri;"231210620";Brejo Grande;"23121062000";;BREJO GRANDE (FONTE);"-7.24987";"-39.761026"
"23121060500000100";Santana do Cariri;"231210605000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312106";Santana do Cariri;"231210605";Santana do Cariri;"23121060500";;SANTANA DO CARIRI (FONTE);"-7.180898";"-39.73798"
"23123041500000100";Inhuçu;"231230415000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312304";São Benedito;"231230415";Inhuçu;"23123041500";;SI COMPLEXO JABURU;"-4.111431";"-40.868928"
"23123040500000100";São Benedito;"231230405000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312304";São Benedito;"231230405";São Benedito;"23123040500";;SI COMPLEXO JABURU;"-4.044727";"-40.86449"
"23124031000000100";Croatá;"231240310000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312403";São Gonçalo do Amarante;"231240310";Croatá;"23124031000";;SI SÃO LUIS DO CURU;"-3.672062";"-39.115088"
"23124031500003000";Pecém;"231240315000030";"8";Área Rural (exclusive aglomerados);"23";Ceará;CE;"2312403";São Gonçalo do Amarante;"231240315";Pecém;"23124031500";;SAA PECÉM;"-3.539832";"-38.867813"
"23124030500000100";São Gonçalo do Amarante;"231240305000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312403";São Gonçalo do Amarante;"231240305";São Gonçalo do Amarante;"23124030500";;SI SÃO GONÇALO DO AMARANTE;"-3.605633";"-38.972076"
"23124032500000100";Siupé;"231240325000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312403";São Gonçalo do Amarante;"231240325";Siupé;"23124032500";;SAA SIUPÉ;"-3.53267";"-38.950785"
"23124033000000100";Umarituba;"231240330000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312403";São Gonçalo do Amarante;"231240330";Umarituba;"23124033000";;SI SÃO GONÇALO DO AMARANTE;"-3.666405";"-38.98081"
"23126010500000100";São Luís do Curu;"231260105000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312601";São Luís do Curu;"231260105";São Luís do Curu;"23126010500";;SI SÃO LUIS DO CURU  ;"-3.673009";"-39.241606"
"23127000500000100";Senador Pompeu;"231270005000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312700";Senador Pompeu;"231270005";Senador Pompeu;"23127000500";;SENADOR POMPEU;"-5.589344";"-39.375325"
"23128090500000101";Senador Sá;"231280905000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312809";Senador Sá;"231280905";Senador Sá;"23128090500";;SAA ETA LISIEUX;"-3.35179";"-40.463792"
"23129080700000900";Aprazível;"231290807000009";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312908";Sobral;"231290807";Aprazível;"23129080700";;SAA ETA MACARAÚ;"-3.754471";"-40.555149"
"23129083500000100";Jaibaras;"231290835000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2312908";Sobral;"231290835";Jaibaras;"23129083500";;SAA ETA SANTANA;"-3.771176";"-40.497459"
